"worked","hours","morekids","samesex","yob"
0,0,0,0,52
0,0,0,0,45
1,35,0,1,49
0,0,0,0,50
0,0,0,0,50
0,0,1,1,51
1,40,0,0,51
1,40,0,1,46
0,0,0,1,45
1,30,1,0,44
0,0,0,1,44
0,0,0,0,50
1,40,0,0,51
0,0,0,1,51
0,0,1,1,49
1,25,0,1,53
0,0,0,0,46
0,0,0,0,48
1,40,0,1,46
1,36,1,0,47
1,40,1,0,47
0,0,0,1,47
1,35,0,1,47
0,0,1,1,44
1,32,1,1,49
0,0,0,0,50
1,10,0,1,47
0,0,0,0,53
0,0,1,1,48
1,7,0,0,52
1,45,0,0,46
0,0,0,0,46
0,0,0,1,51
0,0,0,1,50
1,40,0,0,47
0,0,1,0,48
0,0,0,0,48
1,30,0,0,49
1,40,0,1,54
1,25,0,0,48
0,0,0,0,49
0,0,1,0,47
0,0,0,0,49
0,0,1,0,47
1,20,0,1,46
1,40,0,1,48
0,0,0,1,46
0,0,1,1,53
1,40,1,1,44
1,25,0,1,50
1,80,0,1,47
0,0,0,1,46
1,40,1,1,48
1,40,1,0,53
0,0,0,1,49
1,30,0,0,49
0,0,0,0,48
0,0,0,1,45
1,10,0,1,50
0,0,0,1,52
1,35,0,0,51
0,0,0,0,47
1,8,1,1,49
1,35,1,1,52
1,6,0,1,47
0,0,0,0,48
0,0,0,1,51
1,40,1,1,47
0,0,0,1,50
1,40,0,0,52
0,0,0,0,46
1,40,0,0,47
0,0,0,0,48
0,0,0,1,44
1,40,0,1,45
1,40,0,0,47
0,0,0,0,47
1,40,1,1,49
1,40,1,0,47
1,45,0,0,45
1,35,0,1,48
1,48,0,1,48
1,40,0,0,45
1,40,0,0,44
0,0,0,1,46
0,0,1,1,45
0,0,1,1,44
1,40,1,1,50
1,40,0,1,49
1,35,0,1,47
0,0,1,0,51
1,40,0,1,46
1,40,0,1,56
1,37,0,0,51
1,20,0,0,44
0,0,0,0,46
0,0,0,0,45
0,0,1,1,46
1,20,0,1,50
0,0,0,1,48
1,40,0,0,48
